FacilityName,CSV_Latitude,CSV_Longitude,Latitude,Longitude,Business_Status,Is_Accurate
Agyenkwa Clinic,6.20898,-1.67103,6.208920300000001,-1.6711089,OPERATIONAL,true
Ahenema kokoben Health Centre,6.62597,-1.64978,6.6262883,-1.6498887,OPERATIONAL,true
Ahenkro Health Centre,6.87155,-1.64009,6.8716896,-1.6413547,OPERATIONAL,true
Ahmadiya Muslim Hospital,6.84534,-1.38366,6.8451952,-1.3836336,OPERATIONAL,true
Ahmadiyaa Mission Hospital,6.50986,-1.53649,6.4592155,-1.57116,OPERATIONAL,false
Ahwene Memorial Hospital,6.45491,-1.57071,6.4592155,-1.57116,OPERATIONAL,true
Aim High Clinic,5.96717,-1.44993,5.967204499999999,-1.449982,OPERATIONAL,true
Akokuaso Health Centre,6.85355,-1.33583,6.853563899999999,-1.3358057,OPERATIONAL,true
Akomaa Memorial Hospital,6.43966,-1.53837,6.439541999999999,-1.5384219,OPERATIONAL,true
Akomadan Health Centre,7.40581,-1.96072,7.396032099999999,-1.9539106,NO DATA,false
Akrofrom Clinic,6.15348,-1.47621,6.153408199999999,-1.4762202,OPERATIONAL,true
Akrofrom Community Clinic,6.39651,-1.60783,6.741899999999999,-1.7297,OPERATIONAL,false
Akrofrom Health Centre,6.12385,-1.65387,6.1237129,-1.6538312,OPERATIONAL,true
Akrokerri Health Centre,6.29513,-1.63224,6.2974518,-1.6316411,OPERATIONAL,true
Akropong Health Centre,7.0,-2.0,5.981499899999999,-0.0779,OPERATIONAL,false
Akropong Maternity Home,7.0,-2.0,5.977963099999999,-0.08869479999999999,NO DATA,false
Akutreso Health Centre,6.09619,-1.29292,6.095461999999999,-1.295148,OPERATIONAL,true
Akwasiase Dressing Station,6.99498,-2.19887,6.995227700000001,-2.1989673,OPERATIONAL,true
Alice Memorial Maternity Clinic,6.99961,-2.17134,7.590645399999999,-1.946736,OPERATIONAL,false
All Souls Clinic,6.19852,-1.62881,N/A,N/A,NO DATA,false
Allen Health Clinic,6.08691,-1.69553,6.086831699999999,-1.6955737,OPERATIONAL,true
Amansan Clinic,6.19128,-1.65044,6.1827315,-1.6745567,OPERATIONAL,false
Amantenaman Health Centre,6.77005,-1.16254,6.6618447,-1.5498985,OPERATIONAL,false
Amponsah Konadu Memorial Maternity Home,6.79262,-1.47187,6.7155988,-1.5047464,OPERATIONAL,false
Ampunyasi Health Centre,6.05519,-1.73677,6.0552,-1.7368,OPERATIONAL,true
Anane Aya Maternity Home,6.99542,-2.19993,6.9952241,-2.1995076,OPERATIONAL,true
Ananekrom Health Centre,6.91527,-1.01533,6.915303199999999,-1.015248,OPERATIONAL,true
Anglican (Mobile) Eye Clinic,6.56615,-1.52066,6.5660756,-1.5206693,OPERATIONAL,true
Atonso/Agogo Fejiase clinic,6.61268,-1.55999,6.6127596,-1.5597238,OPERATIONAL,true
Brodekwanu Methodis Clinic,6.53546,-1.35365,6.612729100000001,-1.6829264,OPERATIONAL,false
CAMFAP Maternity Clinic,6.57933,-1.54404,6.5793634,-1.5441395,OPERATIONAL,true
Jachie Health Centre,6.56598,-1.52097,6.565930499999999,-1.5207626,OPERATIONAL,true
Kuntenase Government Hospital,6.53752,-1.47454,6.5374621,-1.4744583,OPERATIONAL,true
Lake Bosomtwi Methodist Clinic,6.48398,-1.37362,6.661199,-1.6767047,OPERATIONAL,false
Nyameani Methodist Clinic,6.56458,-1.43022,6.5624147,-1.4290449,OPERATIONAL,true
Piase CHPS,6.59099,-1.45151,N/A,N/A,NO DATA,false
SDA Clinic Konkoma,6.51291,-1.34849,6.5129,-1.3485,OPERATIONAL,true
Sophia Maternity Home,6.63159,-1.56147,N/A,N/A,NO DATA,false
St. Marys Anglican Clinic,6.54056,-1.54346,6.5409375,-1.5434219,OPERATIONAL,true
St. Micheal Hospital,6.55872,-1.51247,6.5588721,-1.512392,OPERATIONAL,true
Tetrefu Health Centre,6.62487,-1.53468,6.618276199999999,-1.5154216,OPERATIONAL,false
God's Grace Maternity Home,6.5016785,-1.4144827,9.633691599999999,6.542506400000001,OPERATIONAL,false
Anyinam Clinic,6.19897,-1.68205,6.1827315,-1.6745567,OPERATIONAL,false
Anyinasuso Health Centre,6.95913,-2.10037,6.959099999999999,-2.1004,OPERATIONAL,true
Anyinasuso Maternity Home,6.95871,-2.10015,N/A,N/A,NO DATA,false
Anyinasusu SDA Centre,7.01484,-1.70874,7.0171719,-1.7095613,OPERATIONAL,true
Anyinofi Health Centre,7.42528,-0.77045,7.425422999999999,-0.8760557999999999,OPERATIONAL,false
Apaa Maternity Home,6.95511,-1.43465,7.045168899999999,-1.3992532,OPERATIONAL,false
Apromase Health Centre,6.67085,-1.49543,6.670899899999999,-1.4954,OPERATIONAL,true
Asaam Health Clinic,7.11732,-1.46598,7.0561,-1.399,OPERATIONAL,false
Asempa   Maternity and Clinic,6.19924,-1.68233,6.199292199999999,-1.6822966,OPERATIONAL,true
Ahenema kokoben Health Centre,6.62597,-1.64978,6.6262883,-1.6498887,OPERATIONAL,true
Bebu Methodist Clinic,6.61154,-1.68505,6.612729100000001,-1.6829264,OPERATIONAL,true
Eye Adom Maternity Home,6.61458,-1.65857,6.7161998,-0.8172336,OPERATIONAL,false
Foase Health Centre,6.63751,-1.75124,6.637499999999999,-1.7512,OPERATIONAL,true
Kwanwoma Health Centre,6.62865,-1.63524,6.5757384,-1.6317648,OPERATIONAL,false
Trabuom Health Centre,6.61142,-1.76252,6.611398299999999,-1.7623365,OPERATIONAL,true
Trede Health Centre,6.57803,-1.66859,6.5779983,-1.6686182,OPERATIONAL,true
Nweneso III Health Centre,6.5972124,-1.578999399,6.566999999999999,-1.779,OPERATIONAL,false
Asiwa Health Centre,6.42344,-1.33434,6.4232511,-1.3345143,OPERATIONAL,true
Asokwa Health Centre,6.28068,-1.50786,6.239219599999999,-1.4992103,OPERATIONAL,false
Essuowin Health Centre,6.53656,-1.86502,6.5366,-1.865,OPERATIONAL,true
Asubuasu Health Centre,7.31624,-1.23529,7.316199999999999,-1.2353,OPERATIONAL,true
Asuofua Health Centre,7.0,-2.0,6.7265134,-1.7288396,OPERATIONAL,false
Ataasi Health Centre,5.96664,-1.36454,5.9665174,-1.3647572,OPERATIONAL,true
Atonsu Health Centre,7.02372,-1.30912,7.0170191,-1.3148892,OPERATIONAL,false
Atwereboana Clinic,5.96235,-1.34213,5.9624,-1.3421,OPERATIONAL,true
Atwima Clinic,7.0,-2.0,6.7265134,-1.7288396,OPERATIONAL,false
Avril Clinic,6.19802,-1.62953,N/A,N/A,NO DATA,false
Babaso MCH,7.34065,-1.32417,N/A,N/A,NO DATA,false
Banka Health Centre,6.29824,-1.21615,6.298199899999999,-1.2162,OPERATIONAL,true
Banko Health Centre,6.75822,-1.28473,6.9334022,-1.2618824,OPERATIONAL,false
Banso SDA Clinic,6.47584,-1.19674,6.475826199999999,-1.1967395,OPERATIONAL,true
Barekese Health Centre,7.0,-2.0,6.8581657,-1.7350502,OPERATIONAL,false
Barniekrom maternity home,6.54199,-2.17473,6.540968100000001,-2.1763421,NO DATA,true
Bebome Health Centre,6.86725,-1.09566,6.607823799999999,-1.2058015,OPERATIONAL,false
Bebu Methodist Clinic,6.61154,-1.68505,6.612729100000001,-1.6829264,OPERATIONAL,true
Bekwai Government Hospital,6.45605,-1.57857,6.4592155,-1.57116,OPERATIONAL,false
Benim Health Centre,7.09054,-1.46459,7.0892254,-1.4688483,NO DATA,true
Beposo Health Centre,6.98526,-1.35503,6.9854682,-1.3554012,OPERATIONAL,true
Bethel Maternity Home,6.64692,-1.90327,5.3425074,-0.6296676999999999,OPERATIONAL,false
Betiako Health Centre,6.86638,-2.20685,6.8663978,-2.2068926,OPERATIONAL,true
Beyerebon No.5 Health Centre,6.39211,-2.18134,6.3921,-2.1812999,OPERATIONAL,true
Birem Health Centre,7.22732,-0.99197,7.012809,-1.3793033,OPERATIONAL,false
Boamang Health Centre,6.94073,-1.61705,6.936052800000001,-1.6138275,OPERATIONAL,false
Boanim Health Centre,7.03482,-1.48741,7.0348619,-1.4874518,OPERATIONAL,true
Bodwesango St Louis Health Centre,6.22249,-1.31031,6.2838863,-1.4194307,OPERATIONAL,false
Bomfa Health Centre,6.59635,-1.29933,6.5964,-1.2992999,OPERATIONAL,true
Bompata Health Centre,6.66727,-1.08393,6.6673,-1.0839,OPERATIONAL,true
Bonsua Health Centre,6.93485,-1.67615,6.9376383,-1.6749262,OPERATIONAL,true
Bonwire Clinic,6.4716,-1.2846,6.7874623,-1.4791662,OPERATIONAL,false
Brahabebome Clinic,6.19444,-1.63014,6.1943559,-1.6301695,OPERATIONAL,true
Bryant  Mission Hospital,6.1131,-1.3844,6.1916761,-1.6459874,OPERATIONAL,false
Cecilia Maternity  Home,6.19886,-1.65574,5.962036299999999,-1.7771346,OPERATIONAL,false
Central Market Clinic,6.20591,-1.67031,6.205883099999999,-1.6703122,OPERATIONAL,true
Christ Our Hope Maternity Home,6.75486,-1.52744,N/A,N/A,NO DATA,false
Christ Our Saviour Clinic,6.51142,-1.85217,6.5114,-1.8522,OPERATIONAL,true
Church of Christ Mission Clinic,6.71394,-1.42827,6.6817835,-1.5818426,OPERATIONAL,false
Church of God Clinic,6.66053,-1.44979,6.660585699999999,-1.4498937,OPERATIONAL,true
Community Health Centre,6.66848,-1.84016,6.6011707,-2.1096703,OPERATIONAL,false
Cross Medical Centre,7.00829,-1.37595,7.0079841,-1.376041,OPERATIONAL,true
Daasebre Maternity Home,6.62776,-1.21314,N/A,N/A,NO DATA,false
Dadiase Health Centre,6.88078,-1.36776,6.9361225,-1.4975872,OPERATIONAL,false
Dakopon Hospital,6.72086,-1.49322,6.7207705,-1.493201,OPERATIONAL,true
Datano Health Post,6.29398,-1.97098,N/A,N/A,NO DATA,false
Detieso Community Clinic,6.47674,-1.44168,6.4767,-1.4417,OPERATIONAL,true
Domeabra Health Centre,6.93864,-1.55757,6.9386,-1.5576,OPERATIONAL,true
Dompoase Benito Menni Health Centre,6.32282,-1.54468,6.322627499999999,-1.5444488,OPERATIONAL,true
Dora Maternity Clinic,6.4804,-1.4951,N/A,N/A,NO DATA,false
Dorcas Memorial Clinic,7.39694,-1.95297,7.3968789,-1.9530138,OPERATIONAL,true
Duasi Community Clinic,6.46863,-1.39522,6.468599999999999,-1.3952,OPERATIONAL,true
Dwease Health Centre,6.53747,-1.24407,6.607823799999999,-1.2058015,OPERATIONAL,false
Dwendwenase Health Centre,6.41223,-1.19934,6.412199999999999,-1.1993,OPERATIONAL,true
Ebenezer Methodist Clinic,6.65865,-1.84306,6.658699899999999,-1.8431,OPERATIONAL,true
Edwafo Health Centre,6.19675,-1.57367,5.7996912,-0.4906292,OPERATIONAL,false
Effiduase District Hospital,6.84739,-1.39373,6.847562399999999,-1.3935025,OPERATIONAL,true
Effiduase Trust Maternity Home,6.84821,-1.39412,6.847562399999999,-1.3935025,OPERATIONAL,true
Ejisu Health Centre,6.72103,-1.47028,6.720780100000001,-1.4703924,OPERATIONAL,true
Ejura District Hospital,7.38906,-1.35197,7.389078899999999,-1.3517506,OPERATIONAL,true
Ejura MCH,7.36556,-1.34358,7.3926839,-1.4048249,NO DATA,false
Ejuratia Health Centre,6.82287,-1.52227,6.8227613,-1.5224294,OPERATIONAL,true
Emmanuel  Maternity  Home,6.19235,-1.64475,6.2048258,-1.6704209,OPERATIONAL,false
Enso Nyameye Maternity Home,7.37894,-1.35796,N/A,N/A,NO DATA,false
Essienkyem Health Centre,6.97584,-1.84784,6.326269600000001,-0.3274755,OPERATIONAL,false
Everest Hospital,7.0,-2.0,6.699348199999999,-1.729227,OPERATIONAL,false
Eye Adom Maternity Home,6.61458,-1.65857,6.7161998,-0.8172336,OPERATIONAL,false
Family Care Hospital,6.81614,-1.47675,6.8108285,-1.6384332,OPERATIONAL,false
Fawade Nkanta Clinic,6.81047,-1.63866,6.8103884,-1.6386559,OPERATIONAL,true
Foase Health Centre,6.63751,-1.75124,6.637499999999999,-1.7512,OPERATIONAL,true
Fomena Health Centre,6.28022,-1.51002,6.2801177,-1.5099968,OPERATIONAL,true
Fumso Health Centre,6.11048,-1.44854,6.1105,-1.4484999,OPERATIONAL,true
Fumso-Ketewa Health Centre,6.29675,-1.63103,6.296799999999999,-1.631,OPERATIONAL,true
Gladys Maternity Home,6.78875,-1.56109,N/A,N/A,NO DATA,false
Global Evangelical Mission Hospital,6.66903,-1.49298,6.669240500000001,-1.4943326,OPERATIONAL,true
God is Able Maternity Home,7.0,-2.0,6.703244400000001,-1.7420275,OPERATIONAL,false
Grace Maternity Home and Clinic,6.73257,-1.46146,6.6899064,-1.6081486,OPERATIONAL,false
Gyasikrom Health Centre,6.40145,-1.47313,6.4015,-1.4731,OPERATIONAL,true
Gyreso RCH,6.47006,-2.41673,6.470039,-2.4166272,OPERATIONAL,true
Homako Community Clinic,7.42915,-1.45106,7.429200000000001,-1.4511,OPERATIONAL,true
Humble Maternity Home,6.71479,-1.52225,6.741334999999999,-1.6053758,OPERATIONAL,false
Huttel Health Centre,6.61582,-1.34007,6.6157825,-1.3400006,OPERATIONAL,true
Hwidiem Community Clinic,5.89432,-1.46766,5.894299999999999,-1.4677,OPERATIONAL,true
Ideal Homoepatic Clinic,6.20564,-1.68425,6.205597699999999,-1.6841747,OPERATIONAL,true
Isaaka Akura Health Centre,7.41542,-1.13783,6.9361225,-1.4975872,OPERATIONAL,false
Jalua  Maternity Home,6.81462,-1.64877,N/A,N/A,NO DATA,false
Jamasi Health Centre,6.97753,-1.47255,6.9361225,-1.4975872,OPERATIONAL,false
Jeduako Clinic,7.09501,-1.20917,7.0950012,-1.209201,OPERATIONAL,true
Jemina Maternity Home,6.20313,-1.66816,6.2048258,-1.6704209,OPERATIONAL,true
Jesus Is Lord Maternity Home,6.73865,-1.51092,6.738545999999999,-1.5108377,OPERATIONAL,true
Joy Maternity Home,6.79962,-1.64543,6.7237369,-1.6344132,OPERATIONAL,false
Juaben Government Hospital,6.81602,-1.41392,6.8167068,-1.4137093,OPERATIONAL,true
Juansa Health Centre,6.72336,-1.12734,6.7186642,-1.1329034,NO DATA,false
Juaso District Hospital,6.59223,-1.12113,6.5824286,-1.1209121,NO DATA,false
Keniago CHPS,6.37344,-2.01764,6.3692775,-2.0191103,NO DATA,true
Kenyasi Health Centre,6.78507,-1.56655,6.975527,-2.385904,OPERATIONAL,false
KofiKrom Clinic,6.19624,-1.68043,6.1962003,-1.6805073,OPERATIONAL,true
Kofiase Health Centre,7.14113,-1.48363,7.1410876,-1.4836192,OPERATIONAL,true
Kokofu General Hospital,6.49903,-1.52254,6.498815,-1.523125,OPERATIONAL,true
Kona Health Centre,6.86776,-1.51231,6.867563199999999,-1.5122246,OPERATIONAL,true
Konongo-Odumasi Government Hospital,6.62436,-1.21792,6.607823799999999,-1.2058015,OPERATIONAL,false
Krobo Health Centre,7.07457,-1.42352,7.074563599999999,-1.4234361,OPERATIONAL,true
Kumawu Health Centre,6.90708,-1.26803,6.9084324,-1.2794158,OPERATIONAL,false
Komeso Health Centre,6.46154,-1.06901,6.4615,-1.069,OPERATIONAL,true
Kwamang Health Centre,6.89664,-1.62457,6.887878499999999,-1.6138259,OPERATIONAL,false
Kwamang Health Centre,6.98188,-1.26961,6.887878499999999,-1.6138259,OPERATIONAL,false
Kwanwoma Health Centre,6.62865,-1.63524,6.5757384,-1.6317648,OPERATIONAL,false
Kwaso Health Centre,6.62771,-1.44722,6.633332999999999,-1.45,NO DATA,false
Kyekyewere Health Centre,7.14538,-1.63944,7.1454,-1.6394,OPERATIONAL,true
Life Land Clinic,6.62067,-1.20373,6.8769125,-1.0203224,NO DATA,false
Maakro Clinic,7.0,-2.0,6.699348199999999,-1.729227,OPERATIONAL,false
Matang Clinic,6.99615,-2.21651,6.9961071,-2.2160139,OPERATIONAL,true
Madoma Maternity Clinic,6.72093,-1.45015,6.7108238,-1.6077087,OPERATIONAL,false
Mama Tina Maternity Home,6.71524,-1.50509,6.7155988,-1.5047464,OPERATIONAL,true
Mampong District Hospital,7.04563,-1.40219,7.042028699999999,-1.4069374,OPERATIONAL,false
Mampong Quality Hospital,7.04621,-1.40195,7.070746,-1.4015092,OPERATIONAL,false
Mamponteng Health Centre,6.83295,-1.47695,6.7908092,-1.5608425,OPERATIONAL,false
Manfo Health Centre,6.94531,-2.23044,6.936052800000001,-1.6138275,OPERATIONAL,false
Mankranso Hospital,6.82076,-1.86278,6.8208401,-1.86284,OPERATIONAL,true
Manso Abore Health Centre,6.44627,-1.97764,6.4464273,-1.9777031,OPERATIONAL,true
Manso Edubia Health Centre,6.40256,-1.92957,6.4025132,-1.9294143,OPERATIONAL,true
Manso Nkwanta Maternity Home,6.47682,-1.87916,6.4696004,-1.8866802,NO DATA,false
Manso Tontokrom Health Centre,6.24929,-1.99483,6.248999899999999,-2.0001839,OPERATIONAL,false
Mansonso Health Centre,6.04547,-1.58955,6.0455,-1.5895999,OPERATIONAL,true
Marben Maternity,6.35241,-1.67799,N/A,N/A,NO DATA,false
Meduma Clinic,6.79089,-1.56091,6.790906,-1.5605895,OPERATIONAL,true
Memorial Maternity Home,6.72122,-1.52589,6.720780100000001,-1.4703924,OPERATIONAL,false
Methodist Faith Healing Hospital,6.84819,-1.54934,6.8479057,-1.5494417,OPERATIONAL,true
Mile 14 Community Clinic,6.22126,-1.82139,6.221299999999999,-1.8214,OPERATIONAL,true
Morso Clinic,6.65518,-1.10681,6.6536765,-1.1073679,NO DATA,true
Mother of God Clinic,6.55942,-1.89046,6.5594,-1.8905,OPERATIONAL,true
Mpasaso Health Centre,6.80274,-2.13864,6.8027,-2.1386,OPERATIONAL,true
Mpatuom RCH,6.54088,-1.93215,6.538056,-1.9348729,OPERATIONAL,true
Mpobi RCH,6.84775,-1.56165,6.853835699999999,-1.6178011,NO DATA,false
Muranaim Health Centre,6.24703,-1.20566,6.247,-1.2057,OPERATIONAL,true
Nadaworoma Clinic,7.06598,-1.40213,7.0641709,-1.4013181,OPERATIONAL,true
Nana Frema Maternity Home,7.0,-2.0,5.8731475,-2.4085179,OPERATIONAL,false
Nancy Powel's Clinic,6.31788,-1.30804,6.458472,-1.5702158,CLOSED_PERMANENTLY,false
Neighbourhood    Clinic,6.21889,-1.67117,6.2192735,-1.6711953,OPERATIONAL,true
New Ayaasi Adom Maternity Home,6.29641,-1.52338,6.2968394,-1.523047,OPERATIONAL,true
New Edubiase Hospital,6.05456,-1.39281,6.029514499999999,-1.3337516,OPERATIONAL,false
New Life Clinic,6.47284,-1.43677,6.6525824,-1.6340353,OPERATIONAL,false
Nipankyeremia CHPS,6.37002,-2.15827,6.3694429,-2.157277,OPERATIONAL,true
Nkawie/Toase Hospital,7.0,-2.0,6.6646255,-1.8108069,OPERATIONAL,false
Nkenkasu District Hospital,7.31957,-1.90289,7.3193367,-1.9035064,OPERATIONAL,true
Nkwanta Community Clinic,7.51378,-1.34725,6.4664394,-1.8766237,OPERATIONAL,false
Nnadieso Health Centre,6.59956,-1.092061,6.5996,-1.0921,OPERATIONAL,true
Nobewam SDA Clinic,6.62289,-1.23985,6.6242714,-1.2940109,OPERATIONAL,false
Nsutaman Health Centre,7.00861,-1.38146,7.008599999999999,-1.3815,OPERATIONAL,true
Ntobroso Health Centre,6.53571,-2.04245,6.535699999999999,-2.0425,OPERATIONAL,true
Numereso Health Centre,6.07568,-1.85459,6.6918738,-1.5272364,OPERATIONAL,false
Nutrition Rehabilitation Centre,6.79529,-1.08871,6.795210699999999,-1.0889184,OPERATIONAL,true
Nyama Maternity Home,7.0,-2.0,6.7265134,-1.7288396,OPERATIONAL,false
Nyame Akwan Maternity,6.54096,-1.93229,6.373269,-0.5392295,OPERATIONAL,false
Nyinahin Government Hospital,6.60115,-2.10999,6.601017199999999,-2.1101107,OPERATIONAL,true
Obogu Health Centre,6.51484,-1.11586,6.5163176,-1.1210517,OPERATIONAL,false
Obonsu Clinic,5.95324,-1.35225,5.9532,-1.3523,OPERATIONAL,true
Obuasi Government Hospital,6.1213,-1.4105,6.203494000000001,-1.6848578,OPERATIONAL,false
Odaho RCH,6.27381,-1.96832,6.446933899999999,-1.8708613,NO DATA,false
Offinso Health Centre,6.93782,-1.67504,6.9376383,-1.6749262,OPERATIONAL,true
Ofoase Health Centre,6.37813,-1.26746,6.3781,-1.2675,OPERATIONAL,true
Okaikrom Health Centre,6.82612,-1.30866,6.826099999999999,-1.3087,OPERATIONAL,true
"Catholic Clinic, Oku",7.34796,-1.00318,7.348,-1.0032,OPERATIONAL,true
Owusua Maternity Home,6.77474,-1.63906,6.704341899999999,-1.5840343,OPERATIONAL,false
Oyoko Our Lady Maternity Home,6.86521,-1.38976,N/A,N/A,NO DATA,false
Paradyse Clinic,6.72105,-1.47262,6.7210579,-1.4727735,OPERATIONAL,true
Peace and Comfort Maternity Clinic,6.89428,-1.25522,6.8942616,-1.2550093,OPERATIONAL,true
Peace Homeo Medical Centre,7.0,-2.0,5.5660083,-0.2473783,OPERATIONAL,false
Peminase Maternity Home,6.52668,-1.31086,N/A,N/A,NO DATA,false
Pokukrom Health Centre,7.00378,-1.95239,7.0037065,-1.9523837,OPERATIONAL,true
Praaso Health Centre,6.51556,-1.26672,6.5139293,-0.9789385,OPERATIONAL,false
Quality Care Clinic,6.95019,-1.67263,6.9523685,-1.6719593,OPERATIONAL,true
Queen Victoria Maternity Home and Clinic,6.72345,-1.47869,6.6666035,-1.6163247,OPERATIONAL,false
Redemption Bible Way Clinic and Laboratory,6.20121,-1.66393,6.2012484,-1.6638317,OPERATIONAL,true
Resolute Amansie,6.34571,-1.98979,6.446933899999999,-1.8708613,NO DATA,false
Rev. Walker Medical Centre,6.71394,-1.52192,5.6196294,-0.1133155,OPERATIONAL,false
Rose Maternity Home,6.52025,-1.12042,6.7584544,-1.5677493,OPERATIONAL,false
Sabronum  Health Centre,7.08809,-1.89095,7.0881,-1.891,OPERATIONAL,true
Sacred Heart Maternity Clinic,7.08676,-1.55514,7.086817,-1.555176,OPERATIONAL,true
Saakrom Health Centre,6.75871,-2.02993,6.758712,-2.0299397,OPERATIONAL,true
Salvation Army Clinic,7.05213,-1.52521,5.603215400000001,-0.7913226,OPERATIONAL,false
SDA Clinic Apaa,6.97086,-1.44302,N/A,N/A,NO DATA,false
SDA Hospital,6.3104,-1.3911,6.4592155,-1.57116,OPERATIONAL,false
SDA Hospital,6.68001,-1.54161,6.6666035,-1.6163247,OPERATIONAL,false
SDA Hospital Asamang,7.05322,-1.50964,6.9025941,-1.4329527,OPERATIONAL,false
SDA Hospital Wiamoase,6.90258,-1.43311,7.0522015,-1.5186589,OPERATIONAL,false
Sekyedumase Health Centre,7.31352,-1.57912,7.313370499999999,-1.5789735,OPERATIONAL,true
Sekyere Health Centre,6.92692,-1.37465,6.862069399999999,-1.3984946,OPERATIONAL,false
Sekyere Methodist Clinic,6.92646,-1.37494,6.926501099999999,-1.3748211,OPERATIONAL,true
Senchie Methodist Clinic,6.80818,-1.32507,6.8082179,-1.3250602,OPERATIONAL,true
Shalom Clinic,6.25351,-1.91797,6.2535,-1.918,OPERATIONAL,true
Shalom Methodist Clinic,6.36494,-1.36645,6.4592155,-1.57116,OPERATIONAL,false
Sikaman Health Centre,6.11499,-1.58045,6.114999999999999,-1.5805,OPERATIONAL,true
Sister Philipa Maternity Home,7.05921,-1.39703,7.0591789,-1.3970055,OPERATIONAL,true
Sreso Tinpom Health Centre,6.62201,-2.30317,6.6291866,-2.3036412,OPERATIONAL,false
St Luke Clinic,6.79774,-1.32026,7.482854799999999,-1.280153,OPERATIONAL,false
St. Annes Maternity Clinic,6.63994,-1.49782,6.6484188,-1.6094762,OPERATIONAL,false
St. Anns Maternity Home,6.84578,-1.76006,6.6484188,-1.6094762,OPERATIONAL,false
St. Anthony Maternity Clinic,7.22643,-1.58011,6.6397793,-1.4979578,OPERATIONAL,false
St. Edwards Clinic,6.88014,-1.87428,6.8801,-1.8743,OPERATIONAL,true
St. Johns Clinic,6.87183,-2.05678,N/A,N/A,NO DATA,false
St. Joseph's Clinic.,6.77928,-1.49126,6.853964,-1.5789993,OPERATIONAL,false
St. Jude Hospital  Ltd.,6.20723,-1.68137,6.207074,-1.6815096,OPERATIONAL,true
St. Luke Hospital Kasei,7.53953,-1.34637,7.482854799999999,-1.280153,OPERATIONAL,false
St. Martin's  Hospital,6.41337,-1.88154,6.4136776,-1.8813509,OPERATIONAL,true
St. Martin's Catholic Clinic,6.31346,-2.10902,6.4136776,-1.8813509,OPERATIONAL,false
St. Mary's Clinic,6.45121,-1.36836,6.4592155,-1.57116,OPERATIONAL,false
St. Michael Clinic,6.85935,-1.75623,6.5588721,-1.512392,OPERATIONAL,false
St. Micheal Maternity Home,7.0,-2.0,6.5588721,-1.512392,OPERATIONAL,false
St. Patricks Hospital,6.93135,-1.68167,6.9501441,-1.6663481,OPERATIONAL,false
St. Peters Clinic,6.53511,-2.04218,6.5351,-2.0421999,OPERATIONAL,true
St. Peters' Hospital,6.34331,-1.66669,6.3491939,-1.6736808,OPERATIONAL,false
St. Stephen's Clinic,6.4804,-1.4951,6.458472,-1.5702158,CLOSED_PERMANENTLY,false
St. Theresa's Maternity Home,6.76359,-1.61093,N/A,N/A,NO DATA,false
St. Thomas General and Maternity Clinic,6.20804,-1.77649,6.2078925,-1.7763439,OPERATIONAL,true
St. Vincent Clinic,7.00714,-1.12747,N/A,N/A,NO DATA,false
Subriso Health Centre,6.81613,-2.26676,7.0035,-2.1681,OPERATIONAL,false
Super Care Hospital,6.72023,-1.48104,6.701774299999999,-1.5348253,OPERATIONAL,false
Tano-Odumasi Health Centre,6.49705,-2.39662,6.4971,-2.3966,OPERATIONAL,true
Tepa District Hospital,6.99966,-2.16102,6.99991,-2.1610617,OPERATIONAL,true
